date,covers,sales,outside,apparent_temperature,humidity,precip_intensity_max,precip_max_time,precip_prob,precip_type,pressure,summary,temperature,day_of_week,month,closed,ppa
2019-04-02,173.0,13983.0,0,39.75,0.62,0.0031,11:00PM,0.0,rain,1022.99,cloudy,43.99,1,4,0,80.82658959537572
2019-04-03,183.0,15275.98,1,63.41,0.15,0.0083,03:00AM,0.0,rain,1016.21,clear-night,63.41,2,4,0,83.47530054644808
2019-04-04,190.0,14172.84,0,54.62,0.22,0.0014,12:00PM,0.0,rain,1028.35,clear-night,54.62,3,4,0,74.5938947368421
2019-04-05,210.0,17164.91,0,33.65,0.89,0.0334,11:00PM,0.91,rain,1027.13,rain,38.29,4,4,0,81.73766666666667
2019-04-06,253.0,19636.7,0,61.38,0.45,0.0201,12:00AM,0.0,rain,1021.59,clear-night,61.38,5,4,0,77.61541501976285
2019-04-07,206.0,15262.66,0,55.28,0.66,0.0,05:01AM,0.0,none,1020.13,partly-cloudy-night,55.28,6,4,0,74.09058252427184
2019-04-08,185.0,13748.75,0,72.75,0.46,0.0781,03:00AM,0.0,rain,1005.49,partly-cloudy-night,72.75,0,4,0,74.31756756756756
2019-04-09,184.0,15610.75,0,42.9,0.97,0.0246,07:00PM,0.55,rain,1002.22,rain,44.99,1,4,0,84.84103260869566
2019-04-10,213.0,16141.53,1,52.87,0.36,0.0011,02:00PM,0.0,rain,1014.03,clear-night,52.87,2,4,0,75.78183098591549
2019-04-11,193.0,15233.42,1,43.94,0.45,0.0,05:01AM,0.0,none,1025.17,cloudy,46.38,3,4,0,78.92963730569949
2019-04-12,195.0,15499.54,0,60.02,0.85,0.1513,11:00PM,0.27,rain,1020.16,cloudy,60.02,4,4,0,79.48482051282052
2019-04-13,309.0,22044.7,1,66.19,0.69,0.1411,06:00AM,0.0,rain,1015.83,clear-night,66.19,5,4,0,71.342071197411
2019-04-14,273.0,19197.14,1,60.14,0.94,0.0041,11:00PM,0.0,rain,1005.07,cloudy,60.04,6,4,0,70.31919413919414
2019-04-15,207.0,15071.21,0,43.44,0.52,0.6679999999999999,05:00AM,0.0,rain,1004.4,partly-cloudy-day,49.01,0,4,0,72.80777777777777
2019-04-16,231.0,16704.25,1,60.54,0.28,0.0015,05:00PM,0.0,rain,1014.9,partly-cloudy-day,60.54,1,4,0,72.31277056277057
2019-04-17,210.0,15640.2,1,52.14,0.46,0.0021,03:00PM,0.0,rain,1021.89,partly-cloudy-day,52.14,2,4,0,74.47714285714287
2019-04-18,223.0,18789.730000000003,1,57.13,0.78,0.0001,06:00AM,0.0,none,1011.85,partly-cloudy-day,57.13,3,4,0,84.25887892376683
2019-04-19,256.0,18099.51,1,64.28,0.82,0.0251,10:00PM,0.0,rain,1007.6,cloudy,64.28,4,4,0,70.7012109375
2019-04-20,285.0,19922.12,1,56.54,0.75,0.1668,03:00AM,0.0,rain,1009.76,partly-cloudy-day,56.54,5,4,0,69.90217543859649
2019-04-21,262.0,17947.379999999994,1,57.55,0.66,0.0052,05:00AM,0.0,rain,1017.73,partly-cloudy-day,57.55,6,4,0,68.50145038167936
2019-04-22,199.0,14521.0,0,57.93,0.94,0.0786,04:00PM,0.42,rain,1015.6,rain,57.93,0,4,0,72.96984924623115
2019-04-23,226.0,15124.71,1,62.64,0.64,0.0013,12:00AM,0.0,rain,1010.15,partly-cloudy-day,62.64,1,4,0,66.92349557522124
2019-04-24,263.0,18315.590000000004,1,66.62,0.34,0.0168,01:00AM,0.0,rain,1009.35,clear-day,66.62,2,4,0,69.6410266159696
2019-04-25,194.0,15795.0,0,52.12,0.79,0.0101,07:00PM,0.1,rain,1013.7,cloudy,52.12,3,4,0,81.41752577319588
2019-04-26,190.0,15665.17,0,57.24,0.97,0.1243,01:00PM,0.39,rain,994.6,rain,57.24,4,4,0,82.44826315789474
2019-04-27,233.0,20572.2,1,56.1,0.39,0.0217,04:00AM,0.0,rain,1007.28,clear-day,56.1,5,4,0,88.29270386266094
2019-04-28,187.0,13385.27,1,46.53,0.69,0.0,05:01AM,0.0,none,1020.0,partly-cloudy-day,49.75,6,4,0,71.57898395721925
2019-04-29,194.0,13533.34,1,46.61,0.54,0.0,05:01AM,0.0,none,1026.22,partly-cloudy-day,50.0,0,4,0,69.75948453608248
2019-04-30,160.0,15476.48,1,55.98,0.76,0.0259,05:00AM,0.0,rain,1026.83,partly-cloudy-day,55.98,1,4,0,96.728
2019-05-01,174.0,13112.84,0,47.76,0.94,0.0008,09:00PM,0.0,rain,1025.62,cloudy,49.72,2,5,0,75.36114942528735
2019-05-02,208.0,18046.26,1,55.06,0.83,0.0097,10:00PM,0.29,rain,1021.41,cloudy,55.06,3,5,0,86.76086538461537
2019-05-03,236.0,17950.989999999998,1,53.33,0.95,0.0746,12:00AM,0.0,rain,1015.8,cloudy,53.33,4,5,0,76.06351694915253
2019-05-04,304.0,21879.9,1,61.3,0.84,0.1101,02:00AM,0.0,rain,1009.88,partly-cloudy-day,61.3,5,5,0,71.9733552631579
2019-05-05,206.0,14566.4,0,51.48,0.96,0.1056,08:00PM,1.0,rain,1009.73,rain,51.48,6,5,0,70.71067961165048
2019-05-06,210.0,15982.0,1,57.82,0.66,0.0257,12:00AM,0.0,rain,1017.88,cloudy,57.82,0,5,0,76.1047619047619
2019-05-07,219.0,16030.75,1,64.03,0.71,0.0618,09:00PM,0.0,rain,1018.86,partly-cloudy-day,64.03,1,5,0,73.19977168949772
2019-05-08,193.0,13849.69,1,59.96,0.63,0.0013,02:00AM,0.0,rain,1022.75,clear-day,59.96,2,5,0,71.7600518134715
2019-05-09,203.0,16304.6,1,54.15,0.71,0.0,05:01AM,0.0,none,1024.7,cloudy,54.15,3,5,0,80.31822660098523
2019-05-10,301.0,17726.059999999998,1,70.82,0.69,0.0143,02:00PM,0.0,rain,1013.24,partly-cloudy-day,70.79,4,5,0,58.89056478405315
2019-05-11,257.0,20713.68,1,65.57,0.43,0.0175,04:00AM,0.0,rain,1015.11,cloudy,65.57,5,5,0,80.5979766536965
2019-05-12,180.0,12262.59,0,40.18,0.92,0.1532,02:00PM,0.39,rain,1011.93,rain,45.11,6,5,0,68.1255
2019-05-13,179.0,13163.0,0,42.65,0.93,0.1593,06:00PM,0.55,rain,1009.97,rain,47.14,0,5,0,73.53631284916202
2019-05-14,170.0,14125.75,0,48.1,0.94,0.0773,08:00PM,0.85,rain,1009.37,rain,48.73,1,5,0,83.09264705882353
2019-05-15,238.0,17601.21,1,62.84,0.56,0.005,12:00AM,0.0,rain,1009.21,partly-cloudy-day,62.84,2,5,0,73.95466386554621
2019-05-16,247.0,18423.49,1,67.34,0.42,0.0117,05:00AM,0.0,rain,1010.53,partly-cloudy-day,67.34,3,5,0,74.58902834008097
2019-05-17,245.0,21350.49,1,74.73,0.55,0.031,10:00PM,0.0,rain,1006.66,partly-cloudy-day,74.73,4,5,0,87.14485714285715
