date,pred_ppa
2019-01-01,6.281794742900644
2019-01-02,80.32890739932152
2019-01-03,85.51709267414822
2019-01-04,83.71203260427636
2019-01-05,81.00383782847045
2019-01-06,76.12757449969001
2019-01-07,77.22008982106361
2019-01-08,79.38625874835115
2019-01-09,79.1429985706653
2019-01-10,81.19443066514359
2019-01-11,80.54807353898991
2019-01-12,79.6125461581169
2019-01-13,76.1803397936291
2019-01-14,78.37289094384849
2019-01-15,78.63972173255614
2019-01-16,80.4269055322966
2019-01-17,79.49741156936503
2019-01-18,80.19223721707914
2019-01-19,79.21995349762852
2019-01-20,73.68395408583827
2019-01-21,77.98930595655263
2019-01-22,79.4937273516805
2019-01-23,81.10572003452192
2019-01-24,81.31994634620422
2019-01-25,80.9884497293556
2019-01-26,81.30065538464589
2019-01-27,75.62428819796057
2019-01-28,79.862119430987
2019-01-29,81.90821813482388
2019-01-30,80.17761089694463
2019-01-31,84.39400849880248
2019-02-01,83.01637777161793
2019-02-02,81.26873826901522
2019-02-03,-0.44256486166010234
2019-02-04,76.7227892619554
2019-02-05,79.63511459570393
2019-02-06,78.32883382650522
2019-02-07,80.6972195356359
2019-02-08,80.78130633576016
2019-02-09,78.83379295782771
2019-02-10,75.68399320373021
2019-02-11,78.59092945835204
2019-02-12,77.89481975651464
2019-02-13,79.93213797689127
2019-02-14,79.70069006562952
2019-02-15,79.47968716277599
2019-02-16,78.72742220811624
2019-02-17,73.87291072985036
2019-02-18,77.30766769095499
2019-02-19,79.00403549826893
2019-02-20,81.28079542880643
2019-02-21,80.66783708100179
2019-02-22,80.50214947923469
2019-02-23,81.46229122364223
2019-02-24,75.00038068990149
2019-02-25,79.37971486749876
2019-02-26,82.05685597388593
2019-02-27,79.58063167522454
2019-02-28,83.91595840660962
2019-03-01,83.15245790280981
2019-03-02,80.69746589145538
2019-03-03,74.80309552800932
2019-03-04,76.84674969014883
2019-03-05,79.08837793524249
2019-03-06,77.86070099211284
2019-03-07,80.80949504873422
2019-03-08,80.25798289858304
2019-03-09,78.37114510015533
2019-03-10,75.78501453115145
2019-03-11,78.08994373480586
2019-03-12,77.4379598058224
2019-03-13,80.02233103073627
2019-03-14,79.22101191488822
2019-03-15,79.02888483348495
2019-03-16,78.80720740173082
2019-03-17,73.41355379914806
2019-03-18,76.86316156137386
2019-03-19,79.0738271371791
2019-03-20,80.840815607902
2019-03-21,80.22983657080785
2019-03-22,80.56235521969313
2019-03-23,81.04078513504462
2019-03-24,74.56906793943939
2019-03-25,79.43073523812926
2019-03-26,81.65295949924335
2019-03-27,79.15616333056984
2019-03-28,83.95818638887306
2019-03-29,82.76534474574926
2019-03-30,80.27997479907263
2019-03-31,74.83691619144282
2019-04-01,76.47562997574568
2019-04-02,78.67797474995251
2019-04-03,73.38694868670991
2019-04-04,80.45361395969258
2019-04-05,79.85475760843968
2019-04-06,78.38927316506556
2019-04-07,75.44365098068603
2019-04-08,77.69396710636953
2019-04-09,77.44878538393988
2019-04-10,75.19525387826305
2019-04-11,74.33279436847178
2019-04-12,79.03275866469697
2019-04-13,73.99330168020066
2019-04-14,68.53267418630327
2019-04-15,76.86042534440956
2019-04-16,74.2724653538139
2019-04-17,75.96729495630105
2019-04-18,75.72128035980637
2019-04-19,75.77293866782941
2019-04-20,76.17463030181267
2019-04-21,70.05455754772146
2019-04-22,79.15223534461185
2019-04-23,76.7941642666883
2019-04-24,74.6360128010484
2019-04-25,83.69051612139127
2019-04-26,82.41343334993535
2019-04-27,75.75448887689514
2019-04-28,70.08001396955999
2019-04-29,71.6314881078547
2019-04-30,74.14744888610446
2019-05-01,77.63894731469253
2019-05-02,75.61674464982619
2019-05-03,75.31947798597639
2019-05-04,73.65153139137621
2019-05-05,75.1135479844545
2019-05-06,73.15421068727228
2019-05-07,72.71993934504759
2019-05-08,74.87231750662276
2019-05-09,74.28837145304722
2019-05-10,74.31238099159889
2019-05-11,73.67746705010975
2019-05-12,72.98384350815964
2019-05-13,76.64765173286249
2019-05-14,78.4632031115813
2019-05-15,75.91522128644894
2019-05-16,75.51618120902766
2019-05-17,75.47108569354904
2019-05-18,76.11909702934321
2019-05-19,69.85676459251181
2019-05-20,74.35770785919432
2019-05-21,76.73540354757431
2019-05-22,74.44517579866624
2019-05-23,78.90276779121265
2019-05-24,77.8521262420061
2019-05-25,80.06981731080654
2019-05-26,69.7984939734757
2019-05-27,71.56693469068
2019-05-28,73.96954122931812
2019-05-29,77.36401588148372
2019-05-30,80.04915170892569
2019-05-31,75.14757593027466
2019-06-01,73.38308777222366
2019-06-02,70.54448667813827
2019-06-03,72.9880284616311
2019-06-04,72.45787977854934
2019-06-05,74.8006059772435
2019-06-06,74.12763763754839
2019-06-07,74.05659913198221
2019-06-08,73.60374565856533
2019-06-09,68.32875788608946
2019-06-10,76.39803904916995
2019-06-11,73.88810458959834
2019-06-12,75.76462419048325
2019-06-13,75.27262735679089
2019-06-14,75.39386280592473
2019-06-15,75.97321377411293
2019-06-16,69.61915775936222
