date,sales,dinner_covers,outside
2017-06-12,17578.510000000002,270,1
2017-06-13,15456.31,247,1
2017-06-14,18480.989999999998,259,1
2017-06-15,20487.230000000003,277,1
2017-06-16,20674.78,297,1
2017-06-17,21756.1,320,1
2017-06-18,18356.879999999994,296,1
2017-06-19,12991.769999999999,172,0
2017-06-20,18275.859999999997,277,1
2017-06-21,18679.24,282,1
2017-06-22,20171.359999999997,291,1
2017-06-23,16353.359999999999,222,1
2017-06-24,23374.39,325,1
2017-06-25,18404.039999999994,288,1
2017-06-26,17695.88,260,1
2017-06-27,16514.8,274,1
2017-06-28,20258.379999999997,259,1
2017-06-29,18345.129999999997,274,1
2017-06-30,20441.159999999996,284,1
2017-07-01,21355.690000000002,313,1
2017-07-02,22313.93,355,1
2017-07-03,21828.739999999994,315,1
2017-07-04,16763.649999999998,284,1
2017-07-05,17305.169999999995,265,1
2017-07-06,16835.379999999997,246,1
2017-07-07,18709.339999999997,278,1
2017-07-08,23457.75,336,1
2017-07-09,18854,298,1
2017-07-10,17003.47,263,1
2017-07-11,16950.61,249,1
2017-07-12,15246.97,226,1
2017-07-13,13736.99,192,0
2017-07-14,15212.84,206,0
2017-07-15,22616.170000000002,311,1
2017-07-16,19423.809999999998,313,1
2017-07-17,17114.38,273,1
2017-07-18,18465.34,245,1
2017-07-19,15835.23,258,1
2017-07-20,16617.98,214,1
2017-07-21,20971.170000000002,316,1
2017-07-22,19057.54,254,1
2017-07-23,22660.199999999997,304,1
2017-07-24,14590.44,194,1
2017-07-25,16690.76,248,1
2017-07-26,19567.17,260,1
2017-07-27,18607.399999999998,259,1
2017-07-28,20115.739999999998,295,1
2017-07-29,22751.11,366,1
2017-07-30,20259.24,310,1
2017-07-31,17848.370000000003,258,1
2017-08-01,14715.86,249,1
2017-08-02,16260.859999999999,216,1
2017-08-03,19525.259999999995,274,1
2017-08-04,21803.73,314,1
2017-08-05,23863.219999999998,354,1
2017-08-06,20467.84,309,1
2017-08-07,13258.249999999998,187,0
2017-08-08,16367.489999999998,261,1
2017-08-09,19525.199999999997,294,1
2017-08-10,20483.489999999994,290,1
