date,sales,dinner_covers,outside
2019-04-13,22044.699999999993,309,1
2019-04-14,19197.139999999996,273,1
2019-04-15,15071.21,207,0
2019-04-16,16704.25,231,1
2019-04-17,15640.199999999999,210,1
2019-04-18,18789.73,223,1
2019-04-19,18099.510000000002,256,1
2019-04-20,19922.12,285,1
2019-04-21,17947.379999999997,262,1
2019-04-22,14521,199,0
2019-04-23,15124.710000000001,226,1
2019-04-24,18315.590000000004,263,1
2019-04-25,15795,194,0
2019-04-26,15665.17,190,0
2019-04-27,20572.2,233,1
2019-04-28,13385.27,187,1
2019-04-29,13533.34,194,1
2019-04-30,15476.48,160,1
2019-05-01,13112.839999999998,174,0
2019-05-02,18046.260000000002,208,1
2019-05-03,17950.989999999994,236,1
2019-05-04,21879.9,304,1
2019-05-05,14566.4,206,0
2019-05-06,15982,210,1
2019-05-07,16030.75,219,1
2019-05-08,13849.69,193,1
2019-05-09,16304.599999999999,203,1
2019-05-10,24313.540000000005,301,1
2019-05-11,20713.68,257,1
2019-05-12,12262.59,180,0
2019-05-13,13163,179,0
2019-05-14,14125.75,170,0
2019-05-15,17601.21,238,1
2019-05-16,18423.489999999998,247,1
2019-05-17,21350.489999999998,245,1
2019-05-18,24635.399999999994,314,1
2019-05-19,17560.63,270,1
2019-05-20,17033.5,257,1
2019-05-21,20307.91,228,1
2019-05-22,17455.46,251,1
2019-05-23,16084.5,213,1
2019-05-24,21672.139999999996,300,1
2019-05-25,30080,42,0
2019-05-26,20863.739999999998,281,1
2019-05-27,19083.489999999983,309,1
2019-05-28,13647.99,181,1
2019-05-29,13669.769999999999,184,0
2019-05-30,14610.13,180,0
2019-05-31,22367.260000000002,307,1
2019-06-01,23309.000000000004,334,1
2019-06-02,17890.579999999998,252,1
2019-06-03,18854.799999999992,278,1
2019-06-04,19001.46,243,1
2019-06-05,15613.58,231,1
2019-06-06,18421.260000000002,253,1
2019-06-07,19023.879999999997,270,1
2019-06-08,21201.510000000002,311,1
2019-06-09,20616.1,307,1
2019-06-10,13564.7,184,0
2019-06-11,18338.47,253,1
2019-06-12,18032.37,246,1
2019-06-13,15209.75,207,1
2019-06-14,19688.38,292,1
2019-06-15,21059.31,306,1
2019-06-16,17805.29,242,1
