date,sales,covers,outside,humidity,precip_intensity_max,precip_max_time,precip_prob,precip_type,pressure,summary,day_of_week,month,closed,sales_per_cover,temp_very_cold,temp_cold,temp_warm,temp_hot,temp_very_hot
2017-02-07,13435.24,180.0,0,0.93,0.0702,12:00PM,0.0,rain,1006.73,cloudy,1,2,0,74.64022222222222,0.0,1.0,0.0,0.0,0.0
2017-02-08,14382.570000000003,185.0,0,0.58,0.0138,04:00AM,0.0,rain,1006.23,partly-cloudy-night,2,2,0,77.74362162162164,0.0,0.0,1.0,0.0,0.0
2017-02-09,13655.02,196.0,0,0.54,0.0076,06:00AM,0.0,snow,1012.11,partly-cloudy-night,3,2,0,69.66846938775511,1.0,0.0,0.0,0.0,0.0
2017-02-10,15970.63,184.0,0,0.57,0.0077,03:00PM,0.0,snow,1021.9,cloudy,4,2,0,86.79690217391304,1.0,0.0,0.0,0.0,0.0
2017-02-11,16634.659999999996,223.0,0,0.66,0.0121,01:00PM,0.0,rain,1016.81,partly-cloudy-night,5,2,0,74.59488789237666,0.0,0.0,1.0,0.0,0.0
2017-02-12,13399.8,199.0,0,0.94,0.0195,01:00PM,0.45,rain,1005.38,rain,6,2,0,67.33567839195979,0.0,1.0,0.0,0.0,0.0
2017-02-13,14480.929999999997,193.0,0,0.59,0.0062,12:00PM,0.0,snow,1014.1,clear-night,0,2,0,75.03072538860101,0.0,1.0,0.0,0.0,0.0
2017-02-14,14081.16,194.0,0,0.67,0.0054,03:00PM,0.0,rain,1008.57,clear-night,1,2,0,72.58329896907216,0.0,1.0,0.0,0.0,0.0
2017-02-15,15359.01,200.0,0,0.75,0.0032,07:00PM,0.21,rain,995.81,cloudy,2,2,0,76.79505,0.0,1.0,0.0,0.0,0.0
2017-02-16,15015.679999999997,199.0,0,0.54,0.0,05:01AM,0.0,none,1007.12,partly-cloudy-night,3,2,0,75.45567839195978,1.0,0.0,0.0,0.0,0.0
2017-02-17,16412.299999999996,212.0,0,0.46,0.0,05:01AM,0.0,none,1011.79,partly-cloudy-night,4,2,0,77.41650943396225,0.0,1.0,0.0,0.0,0.0
