,
2017-01-01,47
2017-01-08,58
2017-01-15,57
2017-01-22,51
2017-01-29,46
2017-02-05,47
2017-02-12,43
2017-02-19,44
2017-02-26,44
2017-03-05,40
2017-03-12,44
2017-03-19,42
2017-03-26,51
2017-04-02,49
2017-04-09,40
2017-04-16,50
2017-04-23,52
2017-04-30,44
2017-05-07,51
2017-05-14,44
2017-05-21,42
2017-05-28,45
2017-06-04,42
2017-06-11,47
2017-06-18,46
2017-06-25,52
2017-07-02,46
2017-07-09,45
2017-07-16,51
2017-07-23,52
2017-07-30,50
2017-08-06,54
2017-08-13,48
2017-08-20,45
2017-08-27,54
2017-09-03,48
2017-09-10,49
2017-09-17,50
2017-09-24,52
2017-10-01,47
2017-10-08,49
2017-10-15,57
2017-10-22,49
2017-10-29,49
2017-11-05,65
2017-11-12,52
2017-11-19,45
2017-11-26,50
2017-12-03,41
2017-12-10,61
2017-12-17,44
2017-12-24,47
2017-12-31,62
2018-01-07,70
2018-01-14,53
2018-01-21,68
2018-01-28,49
2018-02-04,54
2018-02-11,47
2018-02-18,53
2018-02-25,47
2018-03-04,47
2018-03-11,42
2018-03-18,49
2018-03-25,46
2018-04-01,55
2018-04-08,77
2018-04-15,52
2018-04-22,56
2018-04-29,62
2018-05-06,64
2018-05-13,90
2018-05-20,68
2018-05-27,61
2018-06-03,56
2018-06-10,62
2018-06-17,61
2018-06-24,58
2018-07-01,48
2018-07-08,47
2018-07-15,60
2018-07-22,68
2018-07-29,69
2018-08-05,52
2018-08-12,60
2018-08-19,74
2018-08-26,64
2018-09-02,59
2018-09-09,65
2018-09-16,61
2018-09-23,60
2018-09-30,56
2018-10-07,72
2018-10-14,56
2018-10-21,51
2018-10-28,57
2018-11-04,70
2018-11-11,59
2018-11-18,47
2018-11-25,51
2018-12-02,51
2018-12-09,48
2018-12-16,46
2018-12-23,42
2018-12-30,51
2019-01-06,61
2019-01-13,51
2019-01-20,54
2019-01-27,53
2019-02-03,49
2019-02-10,57
2019-02-17,44
2019-02-24,57
2019-03-03,42
2019-03-10,100
2019-03-17,64
2019-03-24,44
2019-03-31,51
2019-04-07,58
2019-04-14,57
2019-04-21,45
2019-04-28,50
2019-05-05,50
2019-05-12,53
2019-05-19,38
2019-05-26,54
2019-06-02,48
2019-06-09,50
