date,sales,outside
2017-01-02,12814.84,0
2017-01-03,12442.11,0
2017-01-04,11877.640000000001,0
2017-01-05,14057.789999999999,0
2017-01-06,14531.97,0
2017-01-07,16751.239999999998,0
2017-01-08,13628.09,0
2017-01-09,12604.6,0
2017-01-10,13227.15,0
2017-01-11,14294.739999999998,0
2017-01-12,15468.550000000001,0
2017-01-13,14839.619999999999,0
2017-01-14,17289.53,0
2017-01-15,14541.24,0
2017-01-16,13852.720000000001,0
2017-01-17,11401.96,0
2017-01-18,11972.369999999999,0
2017-01-19,14409.93,0
2017-01-20,16559.2,0
2017-01-21,18003.79,0
2017-01-22,11864.919999999998,0
2017-01-23,13118.67,0
2017-01-24,15002.2,0
2017-01-25,15672.27,0
2017-01-26,13125.480000000001,0
2017-01-27,15530.009999999998,0
2017-01-28,17448.77,0
2017-01-29,13307.47,0
2017-01-30,13181.96,0
2017-01-31,14939.51,0
2017-02-01,13323.7,0
2017-02-02,17747.129999999997,0
2017-02-03,17399.43,0
2017-02-04,17545.949999999997,0
2017-02-05,0.0,0
2017-02-06,11341.529999999999,0
2017-02-07,13435.24,0
2017-02-08,14382.570000000002,0
2017-02-09,13655.02,0
2017-02-10,15970.630000000001,0
2017-02-11,16634.659999999996,0
2017-02-12,13399.8,0
2017-02-13,14480.929999999998,0
2017-02-14,14081.16,0
2017-02-15,15359.01,0
2017-02-16,15015.679999999998,0
2017-02-17,16412.299999999996,0
2017-02-18,15832.199999999997,0
2017-02-19,15567.31,0
2017-02-20,12690.499999999998,0
2017-02-21,13479.980000000001,0
2017-02-22,12884.119999999999,0
2017-02-23,13450.75,0
2017-02-24,14834.67,0
2017-02-25,16599.519999999997,0
2017-02-26,13563.85,0
2017-02-27,13716.859999999999,0
2017-02-28,15136.089999999998,0
2017-03-01,13173.48,0
2017-03-02,14391.19,0
2017-03-03,14819.789999999999,0
2017-03-04,18980.78,0
2017-03-05,14517.5,0
2017-03-06,13041.74,0
2017-03-07,13784.06,0
2017-03-08,14269.449999999999,0
2017-03-09,14575.669999999998,0
2017-03-10,14885.909999999998,0
2017-03-11,16960.54,0
2017-03-12,14304.03,0
2017-03-13,13130.57,0
2017-03-14,0.0,0
2017-03-15,13096.539999999999,0
2017-03-16,14506.039999999999,0
2017-03-17,18070.449999999997,0
2017-03-18,17417.11,0
2017-03-19,14875.57,0
2017-03-20,13641.76,0
2017-03-21,13840.109999999999,0
2017-03-22,13219.24,0
2017-03-23,10424.55,0
2017-03-24,14918.99,0
2017-03-25,18004.2,0
2017-03-26,15594.25,0
2017-03-27,14012.569999999998,0
2017-03-28,13064.82,0
2017-03-29,13911.060000000001,0
2017-03-30,14750.529999999999,0
2017-03-31,14243.56,0
2017-04-01,18290.049999999996,0
2017-04-02,14055.4,0
2017-04-03,14837.15,0
2017-04-04,12947.14,0
2017-04-05,12610.13,1
2017-04-06,13564.94,0
2017-04-07,15871.630000000001,0
2017-04-08,16801.92,0
2017-04-09,13944.970000000001,0
2017-04-10,17458.15,1
2017-04-11,15765.800000000001,1
2017-04-12,19837.87,1
2017-04-13,19152.21,1
2017-04-14,20412.699999999997,1
2017-04-15,21810.18,1
2017-04-16,17583.989999999998,1
2017-04-17,15066.579999999998,1
2017-04-18,13545.609999999997,1
2017-04-19,12013.75,0
2017-04-20,14418.24,1
2017-04-21,16031.95,1
2017-04-22,17513.949999999997,0
2017-04-23,17684.269999999997,1
2017-04-24,14321.380000000001,0
2017-04-25,15762.3,0
2017-04-26,14203.219999999998,1
2017-04-27,13968.95,1
2017-04-28,22179.55,1
2017-04-29,23920.469999999994,1
2017-04-30,14023.199999999999,1
2017-05-01,15385.119999999999,1
2017-05-02,18539.12,1
2017-05-03,15489.27,1
