date,Sales
2017-10-07,3684.04
2017-10-08,1011.41
2017-10-09,465.7
2017-10-10,293.91
2017-10-11,701.37
2017-10-12,1161.33
2017-10-13,3758.57
2017-10-14,3889.89
2017-10-15,393.29
2017-10-16,268.2
2017-10-17,705.66
2017-10-18,1035.36
2017-10-19,543.46
2017-10-20,2509.3
2017-10-21,3527.07
2017-10-22,
2017-10-23,884.3
2017-10-24,326.07
2017-10-25,860.2
2017-10-26,626.79
2017-10-27,2377.97
2017-10-28,2381.47
2017-10-29,817.51
2017-10-30,568.76
2017-10-31,3480.76
2017-11-01,471.09
2017-11-02,976.9
2017-11-03,5532
2017-11-04,5541.17
2017-11-05,597.11
2017-11-06,794.74
2017-11-07,339.29
2017-11-08,957.79
2017-11-09,2923.6
2017-11-10,3537.11
2017-11-11,4221.62
2017-11-12,596.29
2017-11-13,899.35
2017-11-14,531.83
2017-11-15,2561.63
2017-11-16,1501.88
2017-11-17,4159.84
2017-11-18,3575.99
2017-11-19,757.11
2017-11-20,690.33
2017-11-21,633.14
2017-11-22,2731.57
2017-11-23,0
2017-11-24,2687.46
2017-11-25,3499.38
2017-11-26,457.66
2017-11-27,558.99
2017-11-28,1021.4
2017-11-29,1020.33
2017-11-30,881.21
2017-12-01,3909.33
2017-12-02,4497.3
2017-12-03,419.38
2017-12-04,608.49
2017-12-05,743.16
2017-12-06,782.91
2017-12-07,900.2
2017-12-08,2780.59
2017-12-09,2672.94
2017-12-10,363.99
2017-12-11,559.99
2017-12-12,629.71
2017-12-13,643.76
2017-12-14,1577.4
2017-12-15,1494.38
2017-12-16,3597.63
2017-12-17,567.45
2017-12-18,817.09
2017-12-19,552.92
2017-12-20,1432.21
2017-12-21,1547.58
2017-12-22,2437.64
2017-12-23,1163.61
2017-12-24,0
2017-12-25,0
2017-12-26,417
2017-12-27,424.06
2017-12-28,2015.81
2017-12-29,3880.51
2017-12-30,1746.95
2017-12-31,3352.65
2018-01-01,0
2018-01-02,915.9
2018-01-03,425.37
2018-01-04,230.47
2018-01-05,1425.63
2018-01-06,3282.6
2018-01-07,411.03
2018-01-08,638.72
2018-01-09,809.13
2018-01-10,424.61
2018-01-11,1987.24
2018-01-12,2278.74
2018-01-13,4822.73
2018-01-14,1014.64
2018-01-15,388.81
2018-01-16,931.68
2018-01-17,1066.17
2018-01-18,1316.97
2018-01-19,4164.06
2018-01-20,3914.08
2018-01-21,260.68
2018-01-22,429.57
2018-01-23,830.21
2018-01-24,919.94
2018-01-25,1198.01
2018-01-26,4393.41
2018-01-27,5330.95
2018-01-28,1025.97
2018-01-29,533.91
2018-01-30,554.78
2018-01-31,791.18
2018-02-01,912.77
2018-02-02,3517.12
2018-02-03,4419.97
2018-02-04,381.27
2018-02-05,443.66
2018-02-06,959.87
2018-02-07,428.47
2018-02-08,1237.97
2018-02-09,4187.85
2018-02-10,4573.97
2018-02-11,552.55
2018-02-12,504.25
2018-02-13,2407.22
2018-02-14,2267.57
2018-02-15,1572.089
2018-02-16,4753.63
2018-02-17,3656.45
2018-02-18,2859.91
2018-02-19,348.95
2018-02-20,847.94
2018-02-21,1772.67
2018-02-22,542.83
2018-02-23,4937.55
2018-02-24,5127.76
2018-02-25,487.14
2018-02-26,334.33
2018-02-27,617.05
2018-02-28,901.2
2018-03-01,2063.59
2018-03-02,3283.74
2018-03-03,5479.84
2018-03-04,1415.93
2018-03-05,169.65
2018-03-06,357.97
2018-03-07,464.39
2018-03-08,1396.08
2018-03-09,4292.76
2018-03-10,4374.33
2018-03-11,377.85
2018-03-12,2494.68
2018-03-13,412.05
2018-03-14,757.22
2018-03-15,1394.76
2018-03-16,4391.98
2018-03-17,4036.22
2018-03-18,572.66
2018-03-19,991.77
2018-03-20,1289.92
2018-03-21,400.84
2018-03-22,963.89
2018-03-23,4071.09
2018-03-24,4535.39
2018-03-25,456.49
2018-03-26,1353.12
2018-03-27,380.25
2018-03-28,1247.75
2018-03-29,909.66
2018-03-30,4171.27
2018-03-31,4703.01
2018-04-01,869.16
2018-04-02,34.9
2018-04-03,1032.17
2018-04-04,1448.67
2018-04-05,1238.11
2018-04-06,4863.5
2018-04-07,4245.45
2018-04-08,389.82
2018-04-09,461.46
2018-04-10,541.62
2018-04-11,864.14
2018-04-12,1220.1
2018-04-13,3491.3
2018-04-14,4065.59
2018-04-15,1099.43
2018-04-16,129.14
2018-04-17,901.06
2018-04-18,870.48
2018-04-19,1892.94
2018-04-20,4839.83
2018-04-21,3823.5
2018-04-22,668.11
2018-04-23,90.01
2018-04-24,626.22
2018-04-25,796.91
2018-04-26,1033.8
2018-04-27,4072.11
2018-04-28,4841.34
2018-04-29,694.73
2018-04-30,854.46
2018-05-01,402.14
2018-05-02,536.51
2018-05-03,1086.77
2018-05-04,3832.14
2018-05-05,3402.97
2018-05-06,752.09
2018-05-07,278.59
2018-05-08,856.43
2018-05-09,704.69
2018-05-10,2607.67
2018-05-11,4651.94
2018-05-12,4059.92
